parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
28345170,Duck soup,11268,"Mushrooms, shiitake, dried",21.6
28345170,Duck soup,14411,"Water, tap, drinking",1896
28500010,"Gravy, meat or poultry, with wine",6116,"Gravy, beef, canned, ready-to-serve",116.5
28500010,"Gravy, meat or poultry, with wine",6119,"Gravy, chicken, canned or bottled, ready-to-serve",119
28500010,"Gravy, meat or poultry, with wine",14553,"Beverages, Wine, non-alcoholic",100
28500020,"Gravy, meat, with fruit",6116,"Gravy, beef, canned, ready-to-serve",116.5
28500020,"Gravy, meat, with fruit",6119,"Gravy, chicken, canned or bottled, ready-to-serve",119
28500020,"Gravy, meat, with fruit",9016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",27.28
28500020,"Gravy, meat, with fruit",9206,"Orange juice, raw",27.28
28500020,"Gravy, meat, with fruit",9268,"Pineapple, canned, juice pack, solids and liquids",27.39
28500030,"Gravy, poultry, low sodium",6977,"Gravy, meat or poultry, low sodium, prepared",100
28500050,"Gravy, giblet",5022,"Chicken, broilers or fryers, giblets, cooked, simmered",5
28500050,"Gravy, giblet",5172,"Turkey, whole, giblets, cooked, simmered",5
28500050,"Gravy, giblet",6119,"Gravy, chicken, canned or bottled, ready-to-serve",45
28500050,"Gravy, giblet",6125,"Gravy, turkey, canned, ready-to-serve",45
28500060,"Gravy, beef or meat, low sodium",6977,"Gravy, meat or poultry, low sodium, prepared",100
28500070,"Gravy, beef or meat, home recipe",2047,"Salt, table",1.107320717
28500070,"Gravy, beef or meat, home recipe",4002,Lard,7.65687251
28500070,"Gravy, beef or meat, home recipe",4542,"Fat, chicken",1.531374502
28500070,"Gravy, beef or meat, home recipe",4575,"Fat, turkey",0.5104581673
28500070,"Gravy, beef or meat, home recipe",4609,"Animal fat, bacon grease",10.20916335
28500070,"Gravy, beef or meat, home recipe",6008,"Soup, beef broth or bouillon canned, ready-to-serve",240
28500070,"Gravy, beef or meat, home recipe",13020,"Beef, retail cuts, separable fat, cooked",5.359810757
28500070,"Gravy, beef or meat, home recipe",20081,"Wheat flour, white, all-purpose, enriched, bleached",7.813
28500080,"Gravy, poultry, home recipe",2047,"Salt, table",1.107320717
28500080,"Gravy, poultry, home recipe",4002,Lard,7.65687251
28500080,"Gravy, poultry, home recipe",4542,"Fat, chicken",1.531374502
28500080,"Gravy, poultry, home recipe",4575,"Fat, turkey",0.5104581673
28500080,"Gravy, poultry, home recipe",4609,"Animal fat, bacon grease",10.20916335
28500080,"Gravy, poultry, home recipe",6194,"Soup, chicken broth, ready-to-serve",240
28500080,"Gravy, poultry, home recipe",13020,"Beef, retail cuts, separable fat, cooked",5.359810757
28500080,"Gravy, poultry, home recipe",20081,"Wheat flour, white, all-purpose, enriched, bleached",7.813
28500100,"Gravy, mushroom",6122,"Gravy, mushroom, dry, powder",8.25
28500100,"Gravy, mushroom",14429,"Water, tap, municipal",91.75
28500150,"Gravy, redeye",10166,"Pork, cured, separable fat (from ham and arm picnic), unheated",8.5
28500150,"Gravy, redeye",14209,"Coffee, brewed, prepared with tap water",120
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",2047,"Salt, table",0.7
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",4053,"Oil, olive, salad or cooking",73.4
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",4542,"Fat, chicken",29.6
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",9195,"Olives, pickled, canned or bottled, green",66.5
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",11283,"Onions, cooked, boiled, drained, without salt",85.05
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",146
28510010,"Gravy or sauce, poultry-based from Puerto Rican-style chicken fricasse",11549,"Tomato products, canned, sauce",128.5
28510020,"Gravy, meat-based, from Puerto-Rican style stuffed pot roast",2047,"Salt, table",0.6
28510020,"Gravy, meat-based, from Puerto-Rican style stuffed pot roast",4001,"Fat, beef tallow",45
28510020,"Gravy, meat-based, from Puerto-Rican style stuffed pot roast",4053,"Oil, olive, salad or cooking",15
28510020,"Gravy, meat-based, from Puerto-Rican style stuffed pot roast",14411,"Water, tap, drinking",159
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",2047,"Salt, table",3
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",4001,"Fat, beef tallow",51.25
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",9195,"Olives, pickled, canned or bottled, green",8.7
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",11283,"Onions, cooked, boiled, drained, without salt",26.25
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",22.695
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",11529,"Tomatoes, red, ripe, raw, year round average",33.75
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",11549,"Tomato products, canned, sauce",64.25
28510030,"Gravy, meat-based, from Puerto-Rican style beef stew",14411,"Water, tap, drinking",474
28522050,Mole verde sauce,2010,"Spices, cinnamon, ground",1.95
28522050,Mole verde sauce,2014,"Spices, cumin seed",0.263
28522050,Mole verde sauce,2047,"Salt, table",3
28522050,Mole verde sauce,6194,"Soup, chicken broth, ready-to-serve",480
28522050,Mole verde sauce,11165,"Coriander (cilantro) leaves, raw",6.66
28522050,Mole verde sauce,11215,"Garlic, raw",9
28522050,Mole verde sauce,11251,"Lettuce, cos or romaine, raw",30
28522050,Mole verde sauce,11282,"Onions, raw",55
28522050,Mole verde sauce,11670,"Peppers, hot chili, green, raw",135
28522050,Mole verde sauce,11954,"Tomatillos, raw",340.2
28522050,Mole verde sauce,12014,"Seeds, pumpkin and squash seed kernels, dried",113.4
75415010,"Onions, NS as to form, creamed",11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",210
75415011,"Onions, from fresh, creamed",2047,"Salt, table",0.4
75415011,"Onions, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75415011,"Onions, from fresh, creamed",11283,"Onions, cooked, boiled, drained, without salt",210
75415020,"Onion rings, NS as to form, batter-dipped, baked or fried",11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",100
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",11.25
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",1133,"Egg, whole, dried",3.75
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",2047,"Salt, table",0.5
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",4322,"Vegetable oil, averaged",35
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",11282,"Onions, raw",77.05
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",18372,"Leavening agents, baking soda",2.3
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",20081,"Wheat flour, white, all-purpose, enriched, bleached",62.5
75416010,"Parsnips, creamed",2047,"Salt, table",0.4
75416010,"Parsnips, creamed",6166,"Sauce, homemade, white, medium",125
75416010,"Parsnips, creamed",11299,"Parsnips, cooked, boiled, drained, without salt",156
75417010,"Peas, NS as to form, creamed",2047,"Salt, table",0.4
75417010,"Peas, NS as to form, creamed",6166,"Sauce, homemade, white, medium",125
75417010,"Peas, NS as to form, creamed",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417011,"Peas, from fresh, creamed",2047,"Salt, table",0.4
75417011,"Peas, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75417011,"Peas, from fresh, creamed",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417012,"Peas, from frozen, creamed",2047,"Salt, table",0.4
75417012,"Peas, from frozen, creamed",6166,"Sauce, homemade, white, medium",125
75417012,"Peas, from frozen, creamed",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417013,"Peas, from canned, creamed",6166,"Sauce, homemade, white, medium",125
75417013,"Peas, from canned, creamed",11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",170
75417020,"Peas, cooked, NS as to form, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75417020,"Peas, cooked, NS as to form, with mushroom sauce",2047,"Salt, table",0.4
75417020,"Peas, cooked, NS as to form, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75417020,"Peas, cooked, NS as to form, with mushroom sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417021,"Peas, cooked, from fresh, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75417021,"Peas, cooked, from fresh, with mushroom sauce",2047,"Salt, table",0.4
75417021,"Peas, cooked, from fresh, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75417021,"Peas, cooked, from fresh, with mushroom sauce",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417022,"Peas, cooked, from frozen, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75417022,"Peas, cooked, from frozen, with mushroom sauce",2047,"Salt, table",0.4
75417022,"Peas, cooked, from frozen, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75417022,"Peas, cooked, from frozen, with mushroom sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417023,"Peas, cooked, from canned, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75417023,"Peas, cooked, from canned, with mushroom sauce",2047,"Salt, table",0.4
75417023,"Peas, cooked, from canned, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75417023,"Peas, cooked, from canned, with mushroom sauce",11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",170
75417030,"Peas, cooked, NS as to form, with tomato sauce",2047,"Salt, table",0.4
75417030,"Peas, cooked, NS as to form, with tomato sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417030,"Peas, cooked, NS as to form, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75417031,"Peas, cooked, from fresh, with tomato sauce",2047,"Salt, table",0.4
75417031,"Peas, cooked, from fresh, with tomato sauce",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417031,"Peas, cooked, from fresh, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75417032,"Peas, cooked, from frozen, with tomato sauce",2047,"Salt, table",0.4
75417032,"Peas, cooked, from frozen, with tomato sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",160
75417032,"Peas, cooked, from frozen, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75417033,"Peas, cooked, from canned, with tomato sauce",2047,"Salt, table",0.4
75417033,"Peas, cooked, from canned, with tomato sauce",11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",170
75417033,"Peas, cooked, from canned, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75418000,"Squash, summer, yellow or green, breaded or battered, baked",1123,"Egg, whole, raw, fresh",12.5
75418000,"Squash, summer, yellow or green, breaded or battered, baked",2047,"Salt, table",0.375
75418000,"Squash, summer, yellow or green, breaded or battered, baked",11477,"Squash, summer, zucchini, includes skin, raw",113
75418000,"Squash, summer, yellow or green, breaded or battered, baked",14429,"Water, tap, municipal",59
75418000,"Squash, summer, yellow or green, breaded or battered, baked",18372,"Leavening agents, baking soda",0.28
75418000,"Squash, summer, yellow or green, breaded or battered, baked",20081,"Wheat flour, white, all-purpose, enriched, bleached",31.25
75418050,"Squash, summer, NS as to form, creamed",2047,"Salt, table",0.4
75418050,"Squash, summer, NS as to form, creamed",6166,"Sauce, homemade, white, medium",125
75418050,"Squash, summer, NS as to form, creamed",11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",96
75418050,"Squash, summer, NS as to form, creamed",11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",112
75418051,"Squash, summer, from fresh, creamed",2047,"Salt, table",0.4
75418051,"Squash, summer, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75418051,"Squash, summer, from fresh, creamed",11642,"Squash, summer, all varieties, cooked, boiled, drained, without salt",180
75418052,"Squash, summer, from frozen, creamed",2047,"Salt, table",0.4
75418052,"Squash, summer, from frozen, creamed",6166,"Sauce, homemade, white, medium",125
75418052,"Squash, summer, from frozen, creamed",11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",96
75418052,"Squash, summer, from frozen, creamed",11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",112
75418053,"Squash, summer, from canned, creamed",6166,"Sauce, homemade, white, medium",125
75418053,"Squash, summer, from canned, creamed",11471,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",216
75418100,"Turnips, NS as to form, creamed",2047,"Salt, table",0.4
75418100,"Turnips, NS as to form, creamed",6166,"Sauce, homemade, white, medium",125
75418100,"Turnips, NS as to form, creamed",11567,"Turnips, frozen, cooked, boiled, drained, without salt",156
75418101,"Turnips, from fresh, creamed",2047,"Salt, table",0.4
75418101,"Turnips, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75418101,"Turnips, from fresh, creamed",11565,"Turnips, cooked, boiled, drained, without salt",156
75418102,"Turnips, from frozen, creamed",2047,"Salt, table",0.4
75418102,"Turnips, from frozen, creamed",6166,"Sauce, homemade, white, medium",125
75418102,"Turnips, from frozen, creamed",11567,"Turnips, frozen, cooked, boiled, drained, without salt",156
75418103,"Turnips, from canned, creamed",6166,"Sauce, homemade, white, medium",125
75418103,"Turnips, from canned, creamed",11565,"Turnips, cooked, boiled, drained, without salt",156
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",4322,"Vegetable oil, averaged",54.5
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",6008,"Soup, beef broth or bouillon canned, ready-to-serve",120
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11091,"Broccoli, cooked, boiled, drained, without salt",156
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11125,"Carrots, cooked, boiled, drained, without salt",155.2
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11215,"Garlic, raw",17
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11216,"Ginger root, raw",6
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11283,"Onions, cooked, boiled, drained, without salt",125
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",11292,"Onions, young green, tops only",48
75440100,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with soy-based sauce",16123,Soy sauce made from soy and wheat (shoyu),31.875
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",4322,"Vegetable oil, averaged",54.5
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",6008,"Soup, beef broth or bouillon canned, ready-to-serve",120
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11053,"Beans, snap, green, cooked, boiled, drained, without salt",83.338
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11215,"Garlic, raw",17
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11216,"Ginger root, raw",6
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11261,"Mushrooms, white, cooked, boiled, drained, without salt",51.995
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11283,"Onions, cooked, boiled, drained, without salt",125
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11292,"Onions, young green, tops only",48
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",136
75440110,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with soy-based sauce",16123,Soy sauce made from soy and wheat (shoyu),31.875
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",2047,"Salt, table",0.4
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11091,"Broccoli, cooked, boiled, drained, without salt",39
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11125,"Carrots, cooked, boiled, drained, without salt",39
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11136,"Cauliflower, cooked, boiled, drained, without salt",31
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75440300,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with tomato sauce",11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",17
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",2047,"Salt, table",0.4
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",33.75
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",41
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11283,"Onions, cooked, boiled, drained, without salt",26.25
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",40
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75440310,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",1164,"Cheese sauce, prepared from recipe",80.992
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",2047,"Salt, table",0.4
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",11091,"Broccoli, cooked, boiled, drained, without salt",39
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",11125,"Carrots, cooked, boiled, drained, without salt",39
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",11136,"Cauliflower, cooked, boiled, drained, without salt",31
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75440500,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with cheese sauce",11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",17
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",1164,"Cheese sauce, prepared from recipe",80.992
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",2047,"Salt, table",0.4
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",33.75
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",41
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",11283,"Onions, cooked, boiled, drained, without salt",26.25
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",40
75440510,"Vegetable combinations, excluding carrots, broccoli, and dark-green leafy; cooked, with cheese sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",2047,"Salt, table",0.4
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",6166,"Sauce, homemade, white, medium",83.325
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",11091,"Broccoli, cooked, boiled, drained, without salt",39
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",11125,"Carrots, cooked, boiled, drained, without salt",38.8
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",11136,"Cauliflower, cooked, boiled, drained, without salt",31
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce",11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",17
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",2047,"Salt, table",0.4
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",6166,"Sauce, homemade, white, medium",83.325
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",33.75
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",41
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",11283,"Onions, cooked, boiled, drained, without salt",26.25
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",40
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",2047,"Salt, table",0.4
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",4323,"Table fat, averaged",4.729
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",11091,"Broccoli, cooked, boiled, drained, without salt",39
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",11125,"Carrots, cooked, boiled, drained, without salt",39
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",11136,"Cauliflower, cooked, boiled, drained, without salt",31
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",17
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce",11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",17
75460700,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with pasta",2047,"Salt, table",1
