parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75206022,"Beans, string, yellow, cooked, from frozen, fat added in cooking, NS as to type of fat",11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135
75206036,"Beans, string, yellow, cooked, from frozen, made with oil",2047,"Salt, table",1
75206036,"Beans, string, yellow, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75206036,"Beans, string, yellow, cooked, from frozen, made with oil",11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135
75206037,"Beans, string, yellow, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75206037,"Beans, string, yellow, cooked, from frozen, made with butter",2047,"Salt, table",1
75206037,"Beans, string, yellow, cooked, from frozen, made with butter",11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135
75206038,"Beans, string, yellow, cooked, from frozen, made with margarine",2047,"Salt, table",1
75206038,"Beans, string, yellow, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75206038,"Beans, string, yellow, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75206038,"Beans, string, yellow, cooked, from frozen, made with margarine",11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135
75208002,"Beets, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75208002,"Beets, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75208002,"Beets, cooked, from frozen, NS as to fat added in cooking",11081,"Beets, cooked, boiled, drained",170
75208012,"Beets, cooked, from frozen, fat not added in cooking",2047,"Salt, table",1
75208012,"Beets, cooked, from frozen, fat not added in cooking",11081,"Beets, cooked, boiled, drained",170
75208022,"Beets, cooked, from frozen, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75208022,"Beets, cooked, from frozen, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75208022,"Beets, cooked, from frozen, fat added in cooking, NS as to type of fat",11081,"Beets, cooked, boiled, drained",170
75208127,"Beets, cooked, from frozen, made with oil",2047,"Salt, table",1
75208127,"Beets, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75208127,"Beets, cooked, from frozen, made with oil",11081,"Beets, cooked, boiled, drained",170
75208128,"Beets, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75208128,"Beets, cooked, from frozen, made with butter",2047,"Salt, table",1
75208128,"Beets, cooked, from frozen, made with butter",11081,"Beets, cooked, boiled, drained",170
75208129,"Beets, cooked, from frozen, made with margarine",2047,"Salt, table",1
75208129,"Beets, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75208129,"Beets, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75208129,"Beets, cooked, from frozen, made with margarine",11081,"Beets, cooked, boiled, drained",170
75209002,"Brussels sprouts, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75209002,"Brussels sprouts, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75209002,"Brussels sprouts, cooked, from frozen, NS as to fat added in cooking",11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",155
75209050,"Brussels sprouts, cooked, from frozen, made with oil",2047,"Salt, table",1
75209050,"Brussels sprouts, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75209050,"Brussels sprouts, cooked, from frozen, made with oil",11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",155
75209051,"Brussels sprouts, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75209051,"Brussels sprouts, cooked, from frozen, made with butter",2047,"Salt, table",1
75209051,"Brussels sprouts, cooked, from frozen, made with butter",11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",155
75209052,"Brussels sprouts, cooked, from frozen, made with margarine",2047,"Salt, table",1
75209052,"Brussels sprouts, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75209052,"Brussels sprouts, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75209052,"Brussels sprouts, cooked, from frozen, made with margarine",11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",155
75214002,"Cauliflower, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75214002,"Cauliflower, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75214002,"Cauliflower, cooked, from frozen, NS as to fat added in cooking",11138,"Cauliflower, frozen, cooked, boiled, drained, without salt",180
75214032,"Cauliflower, cooked, from frozen, made with margarine",2047,"Salt, table",1
75214032,"Cauliflower, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75214032,"Cauliflower, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75214032,"Cauliflower, cooked, from frozen, made with margarine",11138,"Cauliflower, frozen, cooked, boiled, drained, without salt",180
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",2047,"Salt, table",1
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75216002,"Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216012,"Corn, cooked, from frozen, NS as to color, fat not added in cooking",2047,"Salt, table",1
75216012,"Corn, cooked, from frozen, NS as to color, fat not added in cooking",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75216022,"Corn, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",2047,"Salt, table",1
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",4322,"Vegetable oil, averaged",4.542
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",1001,"Butter, salted",4.729
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",2047,"Salt, table",1
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",2047,"Salt, table",1
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216139,"Corn, yellow, cooked, from frozen, made with margarine",2047,"Salt, table",1
75216139,"Corn, yellow, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216139,"Corn, yellow, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75216139,"Corn, yellow, cooked, from frozen, made with margarine",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164
75216162,"Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75216162,"Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75216162,"Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216162,"Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216172,"Corn, yellow and white, cooked, from frozen, fat not added in cooking",2047,"Salt, table",1
75216172,"Corn, yellow and white, cooked, from frozen, fat not added in cooking",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216172,"Corn, yellow and white, cooked, from frozen, fat not added in cooking",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216182,"Corn, yellow and white, cooked, from frozen, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75216182,"Corn, yellow and white, cooked, from frozen, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75216182,"Corn, yellow and white, cooked, from frozen, fat added in cooking, NS as to type of fat",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216182,"Corn, yellow and white, cooked, from frozen, fat added in cooking, NS as to type of fat",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216184,"Corn, yellow and white, cooked, from frozen, made with oil",2047,"Salt, table",1
75216184,"Corn, yellow and white, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75216184,"Corn, yellow and white, cooked, from frozen, made with oil",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216184,"Corn, yellow and white, cooked, from frozen, made with oil",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216185,"Corn, yellow and white, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75216185,"Corn, yellow and white, cooked, from frozen, made with butter",2047,"Salt, table",1
75216185,"Corn, yellow and white, cooked, from frozen, made with butter",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216185,"Corn, yellow and white, cooked, from frozen, made with butter",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216186,"Corn, yellow and white, cooked, from frozen, made with margarine",2047,"Salt, table",1
75216186,"Corn, yellow and white, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216186,"Corn, yellow and white, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75216186,"Corn, yellow and white, cooked, from frozen, made with margarine",11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82
75216186,"Corn, yellow and white, cooked, from frozen, made with margarine",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82
75216202,"Corn, white, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75216202,"Corn, white, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75216202,"Corn, white, cooked, from frozen, NS as to fat added in cooking",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
75216212,"Corn, white, cooked, from frozen, fat not added in cooking",2047,"Salt, table",1
75216212,"Corn, white, cooked, from frozen, fat not added in cooking",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
75216222,"Corn, white, cooked, from frozen, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75216222,"Corn, white, cooked, from frozen, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75216222,"Corn, white, cooked, from frozen, fat added in cooking, NS as to type of fat",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
75216232,"Corn, white, cooked, from frozen, made with oil",2047,"Salt, table",1
75216232,"Corn, white, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75216232,"Corn, white, cooked, from frozen, made with oil",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
75216233,"Corn, white, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75216233,"Corn, white, cooked, from frozen, made with butter",2047,"Salt, table",1
75216233,"Corn, white, cooked, from frozen, made with butter",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
75216234,"Corn, white, cooked, from frozen, made with margarine",2047,"Salt, table",1
75216234,"Corn, white, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216234,"Corn, white, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75216234,"Corn, white, cooked, from frozen, made with margarine",11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",164
